Name,Year,Region Code,Region Name,Unit,Factor
Construction work,2021,PL,Poland,kg/EUR,0.6472
Construction work,2021,PT,Portugal,kg/EUR,0.6751
Construction work,2021,RO,Romania,kg/EUR,0.6631
Construction work,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,0.9371
Construction work,2021,ROW_WE,East Europe and Iceland,kg/EUR,1.1844
Construction work,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,1.084
Construction work,2021,ROW_WL,Latin America except Brazil,kg/EUR,0.5518
Construction work,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,0.9881
Construction work,2021,RU,Russian Federation,kg/EUR,0.694
Construction work,2021,SE,Sweden,kg/EUR,0.1987
Construction work,2021,SI,Slovenia,kg/EUR,0.3412
Construction work,2021,SK,Slovakia,kg/EUR,0.3333
Construction work,2021,TR,Turkey,kg/EUR,0.5326
Construction work,2021,TW,"Taiwan, Province of China",kg/EUR,0.9112
Construction work,2021,US,United States,kg/EUR,0.2708
Construction work,2021,ZA,South Africa,kg/EUR,1.0749
Beverages,2021,AT,Austria,kg/EUR,0.4682
Beverages,2021,AU,Australia,kg/EUR,0.4268
Beverages,2021,BE,Belgium,kg/EUR,0.3902
Beverages,2021,BG,Bulgaria,kg/EUR,0.9821
Beverages,2021,BR,Brazil,kg/EUR,0.4382
Beverages,2021,CA,Canada,kg/EUR,0.3375
Beverages,2021,CH,Switzerland,kg/EUR,0.1471
Beverages,2021,CN,China,kg/EUR,1.0491
Beverages,2021,CY,Cyprus,kg/EUR,0.8024
Beverages,2021,CZ,Czech Republic,kg/EUR,0.6838
Beverages,2021,DE,Germany,kg/EUR,0.4604
Beverages,2021,DK,Denmark,kg/EUR,0.509
Beverages,2021,EE,Estonia,kg/EUR,1.497
Beverages,2021,ES,Spain,kg/EUR,0.5065
Beverages,2021,FI,Finland,kg/EUR,0.5724
Beverages,2021,FR,France,kg/EUR,0.3487
Beverages,2021,GB,United Kingdom,kg/EUR,0.5994
Beverages,2021,GR,Greece,kg/EUR,0.5567
Beverages,2021,HR,Croatia,kg/EUR,1.245
Beverages,2021,HU,Hungary,kg/EUR,0.8678
Beverages,2021,ID,Indonesia,kg/EUR,1.0698
Beverages,2021,IE,Ireland,kg/EUR,0.233
Beverages,2021,IN,India,kg/EUR,1.321
Beverages,2021,IT,Italy,kg/EUR,0.4229
Beverages,2021,JP,Japan,kg/EUR,0.3296
Beverages,2021,KR,"Korea, Republic of",kg/EUR,0.5106
Beverages,2021,LT,Lithuania,kg/EUR,0.7645
Beverages,2021,LU,Luxembourg,kg/EUR,0.6151
Beverages,2021,LV,Latvia,kg/EUR,0.941
Beverages,2021,MT,Malta,kg/EUR,0.393
Beverages,2021,MX,Mexico,kg/EUR,0.5845
Beverages,2021,NL,Netherlands,kg/EUR,0.5909
Beverages,2021,NO,Norway,kg/EUR,0.1834
Beverages,2021,PL,Poland,kg/EUR,0.6685
Beverages,2021,PT,Portugal,kg/EUR,0.5768
Beverages,2021,RO,Romania,kg/EUR,0.5514
Beverages,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,0.8988
Beverages,2021,ROW_WE,East Europe and Iceland,kg/EUR,1.2923
Beverages,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,0.836
Beverages,2021,ROW_WL,Latin America except Brazil,kg/EUR,0.6336
Beverages,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,0.5604
Beverages,2021,RU,Russian Federation,kg/EUR,0.7498
Beverages,2021,SE,Sweden,kg/EUR,0.2513
Beverages,2021,SI,Slovenia,kg/EUR,0.3946
Beverages,2021,SK,Slovakia,kg/EUR,0.5368
Beverages,2021,TR,Turkey,kg/EUR,1.1119
Beverages,2021,TW,"Taiwan, Province of China",kg/EUR,0.7021
Beverages,2021,US,United States,kg/EUR,0.4569
Beverages,2021,ZA,South Africa,kg/EUR,0.7971
Dairy products,2021,AT,Austria,kg/EUR,0.7735
Dairy products,2021,AU,Australia,kg/EUR,1.8175
